Files,Shortnames,Dates,RA,DEC,model,instrument,teff,logg,z,enrich,stat,scale,radius
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,morley14,SPEX-PRISM,450.0,5.0,-0.0,,2534715.6031672587,4.053100960866837e-17,2.823724050339979
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,749033.6056217426,1.654082348076204e-19,0.1803877764884295
spex_prism_0436+2300_170216.fits,J0436+2300,170216, 04:36:09.43, 23:00:09.2,sonora18,SPEX-PRISM,2100.0,3.0,-0.0,,219789.7849858564,5.287249839323756e-20,0.10198668091429397
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,btcond,SPEX-PRISM,3100.0,2.0,0.3,0.0,41429.95081612984,1.0367138491994477e-20,0.045160422045951644
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,btnextgen,SPEX-PRISM,3100.0,0.5,-0.5,0.2,40217.39582852351,1.2338665995977252e-20,0.04926774057655222
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,btsettl08,SPEX-PRISM,2300.0,5.0,0.5,0.0,24863.77266044711,3.394051069977007e-20,0.08171235518056964
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,btsettl15,SPEX-PRISM,1800.0,5.5,-0.0,,74072.09922142941,8.964583435739728e-20,0.13279863121799568
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,burrows06,SPEX-PRISM,2000.0,4.5,-0.5,,60915.546345525945,5.724301013812693e-20,0.10611817524098315
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,cond01,SPEX-PRISM,3300.0,2.5,-0.0,,109926.34339988798,8.131390901484449e-21,0.039995484449492025
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,drift,SPEX-PRISM,1800.0,5.5,-0.6,,60870.244987611484,1.0529156298118141e-19,0.14392138447728453
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,dusty01,SPEX-PRISM,2100.0,6.0,-0.0,,107658.45438997442,5.427305894696341e-20,0.10332863490662669
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,madhusudhan11,SPEX-PRISM,1700.0,5.0,-0.0,,104950.26543480274,1.123494653908721e-19,0.14866681830138243
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,morley12,SPEX-PRISM,900.0,5.5,-0.0,,612731.8496011561,1.6478155887935288e-18,0.5693546152063742
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,morley14,SPEX-PRISM,450.0,5.0,-0.0,,2199814.3615125366,3.9886443079074674e-17,2.801181158579669
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,566339.105517758,1.5107104313765787e-19,0.1723928128373902
spex_prism_1615-1854_170213.fits,J1615-1854,170213, 16:15:32.97,-18:54:21.6,sonora18,SPEX-PRISM,2400.0,3.0,-0.0,,93327.24880376729,2.922685972555986e-20,0.07582625716508992
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,btcond,SPEX-PRISM,2700.0,0.0,0.5,0.0,18924.983218765785,2.625285075882122e-20,0.07186489191182151
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,btnextgen,SPEX-PRISM,2700.0,0.0,0.5,0.0,18512.303178732516,2.6294196633266716e-20,0.07192146001287429
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,btsettl08,SPEX-PRISM,1700.0,5.5,-0.0,0.0,3572.263786732887,1.599338433200858e-19,0.17737758135319398
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,btsettl15,SPEX-PRISM,1800.0,5.0,-0.0,,2076.5203240436404,1.1772680229411287e-19,0.15218302615302542
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,burrows06,SPEX-PRISM,1600.0,4.5,0.5,,10496.926469097947,1.7585548289499394e-19,0.1859972394857492
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,cond01,SPEX-PRISM,1400.0,2.5,-0.0,,60302.17243090633,2.5986039697704587e-19,0.22609897350611657
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,drift,SPEX-PRISM,1600.0,4.0,-0.0,,3202.33854796376,2.245449518329664e-19,0.21017458074494003
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,dusty01,SPEX-PRISM,1800.0,5.5,-0.0,,3323.934514092991,1.1619696913870182e-19,0.15119100083478693
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,madhusudhan11,SPEX-PRISM,1500.0,4.0,-0.0,,3946.7670683161214,2.7040391212476955e-19,0.2306402112384721
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,morley12,SPEX-PRISM,800.0,5.5,-0.0,,67420.6772125026,4.3559002271178826e-18,0.9256941169080534
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,morley14,SPEX-PRISM,450.0,5.0,-0.0,,235771.75080155834,3.9004952158134524e-17,2.770055156150797
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,saumon12,SPEX-PRISM,1500.0,4.5,-0.0,,81087.35008016665,1.8211555446966192e-19,0.18927883841582052
spex_prism_0436+1901_160930.fits,J0436+1901,160930, 04:36:40.83, 19:01:45.3,sonora18,SPEX-PRISM,1600.0,3.0,-0.0,,27536.931629441977,1.7669712682823585e-19,0.18644179938338865
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,btcond,SPEX-PRISM,3000.0,2.0,0.5,0.0,35940.51938038566,1.0286322283225555e-20,0.04498405540998888
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,btnextgen,SPEX-PRISM,3000.0,2.0,0.5,0.0,33434.26827258119,1.029554899766564e-20,0.04500422598159867
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,btsettl08,SPEX-PRISM,2300.0,5.0,0.5,0.0,14048.88436719784,3.104686798159564e-20,0.07815152182337044
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,btsettl15,SPEX-PRISM,2350.0,4.5,-0.0,,62661.12683592638,2.719737376258397e-20,0.07314624337944134
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,burrows06,SPEX-PRISM,2000.0,4.5,-0.5,,42836.23973173041,5.326601137006366e-20,0.10236550436525348
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,cond01,SPEX-PRISM,3300.0,2.5,-0.0,,112576.57777833604,7.193429733190105e-21,0.03761807298444374
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,drift,SPEX-PRISM,1800.0,5.5,-0.6,,30468.24647200581,9.703776283438566e-20,0.13816528258465166
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,dusty01,SPEX-PRISM,2100.0,6.0,-0.0,,75681.76538915874,5.099868404171809e-20,0.10016316215228406
spex_prism_0429+2636_170102.fits,J0429+2636,170102, 04:29:26.63, 26:36:25.4,madhusudhan11,SPEX-PRISM,1700.0,5.0,-0.0,,114424.7192744911,1.0548639375200117e-19,0.14405447849768152
