Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0101+0336_160922.fits,J0101+0336,160922, 01:01:34.92, 03:36:14.9,M7.0,0.5,INT-G,L3.5:,1.1326386176886294,M7.7,0.3318440697181124,M9.7,0.7797692976506625
spex_prism_0145-0314_160929.fits,J0145-0314,160929, 01:45:35.25,-03:14:09.8,L8.5:,1.1120827847816932,FLD-G,L8.6,0.6518092561632012,M9.6,0.8556097546709535,L7.5:,1.1320933829045492
spex_prism_1541-2444_170210.fits,J1541-2444,170210, 15:41:09.29,-24:44:08.5,M4.0,0.5011520058488615,,L8.8:,1.1092132757575124,M5.7,0.48054133549344946,,
spex_prism_0420+2813_170929.fits,J0420+2813,170929, 04:20:05.77, 28:13:39.5,L0.0:,1.0154234686177104,,L5.2:,1.289773833496337,M5.3,0.6384283381766788,,
spex_prism_0551+5356_160921.fits,J0551+5356,160921, 05:51:17.36, 53:56:02.4,M0.5,0.8662403826967446,,T0.0:,1.7525401070189186,M5.7:,2.2299336172490043,,
spex_prism_1526-1411_170210.fits,J1526-1411,170210, 15:26:54.55,-14:11:42.3,M8.0,0.5005248803118798,VL-G,L0.7,0.5859720428137951,M8.1,0.40515803303393566,L0.0,0.7969892877132378
spex_prism_0404+0105_160928.fits,J0404+0105,160928, 04:04:15.56, 01:05:17.1,M0.0,0.7847661837245106,VL-G,L3.6,0.6819931721878063,M6.4,0.5773487755863008,,
spex_prism_1628-2453_170210.fits,J1628-2453,170210, 16:28:03.32,-24:53:20.5,M9.0,0.5683588933494075,VL-G,L1.2,0.6487860245469184,M6.6,0.3002744878130133,M8.6:,1.0215723914765586
spex_prism_0204-1350.160908.fits,J0204-1350,160908, 02:04:39.99,-13:50:27.9,M4.0,0.5014640551082539,,L2.7,0.6489403529350116,,,,
spex_prism_2249-1627_161014.fits,J2249-1627,161014, 22:49:31.27,-16:27:57.6,L7.0::,2.150044879424836,FLD-G,L7.0,0.614111580395717,L4.8,0.4688340072119149,L5.1,0.7981189938600102
